Code,Name,Path,Level
42970,شوراي حل اختلاف شهرستان جلفا,دادگستري كل استان آذربايجان شرقي > حوزه قضايي شهرستان جلفا > شوراي حل اختلاف شهرستان جلفا,3
00092,حوزه قضايي شهرستان چاراويماق,دادگستري كل استان آذربايجان شرقي > حوزه قضايي شهرستان چاراويماق,2
43000,دادسراي عمومي و انقلاب شهرستان چاراويماق,دادگستري كل استان آذربايجان شرقي > حوزه قضايي شهرستان چاراويماق > دادسراي عمومي و انقلاب شهرستان چاراويماق,3
00355,دادگاه عمومي و انقلاب شهرستان چاراويماق,دادگستري كل استان آذربايجان شرقي > حوزه قضايي شهرستان چاراويماق > دادگاه عمومي و انقلاب شهرستان چاراويماق,3
65520,شوراي حل اختلاف شهرستان چاراويماق,دادگستري كل استان آذربايجان شرقي > حوزه قضايي شهرستان چاراويماق > شوراي حل اختلاف شهرستان چاراويماق,3
00702,حوزه قضايي شهرستان خداآفرين,دادگستري كل استان آذربايجان شرقي > حوزه قضايي شهرستان خداآفرين,2
43601,دادسراي عمومي و انقلاب شهرستان خداآفرين,دادگستري كل استان آذربايجان شرقي > حوزه قضايي شهرستان خداآفرين > دادسراي عمومي و انقلاب شهرستان خداآفرين,3
43600,دادگاه عمومي و انقلاب شهرستان خداآفرين,دادگستري كل استان آذربايجان شرقي > حوزه قضايي شهرستان خداآفرين > دادگاه عمومي و انقلاب شهرستان خداآفرين,3
43630,شوراي حل اختلاف خداآفرين,دادگستري كل استان آذربايجان شرقي > حوزه قضايي شهرستان خداآفرين > شوراي حل اختلاف خداآفرين,3
00088,حوزه قضايي شهرستان سراب,دادگستري كل استان آذربايجان شرقي > حوزه قضايي شهرستان سراب,2
43050,دادسراي عمومي و انقلاب شهرستان سراب,دادگستري كل استان آذربايجان شرقي > حوزه قضايي شهرستان سراب > دادسراي عمومي و انقلاب شهرستان سراب,3
00359,دادگاه عمومي و انقلاب شهرستان سراب,دادگستري كل استان آذربايجان شرقي > حوزه قضايي شهرستان سراب > دادگاه عمومي و انقلاب شهرستان سراب,3
65100,شوراي حل اختلاف شهرستان سراب (مجتمع شهيد بهشتي),دادگستري كل استان آذربايجان شرقي > حوزه قضايي شهرستان سراب > شوراي حل اختلاف شهرستان سراب (مجتمع شهيد بهشتي),3
00086,حوزه قضايي شهرستان شبستر,دادگستري كل استان آذربايجان شرقي > حوزه قضايي شهرستان شبستر,2
43100,دادسراي عمومي و انقلاب شهرستان شبستر,دادگستري كل استان آذربايجان شرقي > حوزه قضايي شهرستان شبستر > دادسراي عمومي و انقلاب شهرستان شبستر,3
00353,دادگاه عمومي و انقلاب شهرستان شبستر,دادگستري كل استان آذربايجان شرقي > حوزه قضايي شهرستان شبستر > دادگاه عمومي و انقلاب شهرستان شبستر,3
43110,شوراي حل اختلاف شهرستان شبستر,دادگستري كل استان آذربايجان شرقي > حوزه قضايي شهرستان شبستر > شوراي حل اختلاف شهرستان شبستر,3
00087,حوزه قضايي شهرستان عجب شير,دادگستري كل استان آذربايجان شرقي > حوزه قضايي شهرستان عجب شير,2
43150,دادسراي عمومي و انقلاب شهرستان عجب شير,دادگستري كل استان آذربايجان شرقي > حوزه قضايي شهرستان عجب شير > دادسراي عمومي و انقلاب شهرستان عجب شير,3
00356,دادگاه عمومي و انقلاب شهرستان عجب شير,دادگستري كل استان آذربايجان شرقي > حوزه قضايي شهرستان عجب شير > دادگاه عمومي و انقلاب شهرستان عجب شير,3
65000,شوراي حل اختلاف شهرستان عجب شير (مجتمع شهيد بهشتي),دادگستري كل استان آذربايجان شرقي > حوزه قضايي شهرستان عجب شير > شوراي حل اختلاف شهرستان عجب شير (مجتمع شهيد بهشتي),3
00091,حوزه قضايي شهرستان كليبر,دادگستري كل استان آذربايجان شرقي > حوزه قضايي شهرستان كليبر,2
43200,دادسراي عمومي و انقلاب شهرستان كليبر,دادگستري كل استان آذربايجان شرقي > حوزه قضايي شهرستان كليبر > دادسراي عمومي و انقلاب شهرستان كليبر,3
00354,دادگاه عمومي و انقلاب شهرستان كليبر,دادگستري كل استان آذربايجان شرقي > حوزه قضايي شهرستان كليبر > دادگاه عمومي و انقلاب شهرستان كليبر,3
65480,شوراي حل اختلاف شهرستان كليبر,دادگستري كل استان آذربايجان شرقي > حوزه قضايي شهرستان كليبر > شوراي حل اختلاف شهرستان كليبر,3
41420,حوزه قضايي شهرستان ليلان,دادگستري كل استان آذربايجان شرقي > حوزه قضايي شهرستان ليلان,2
41421,دادگاه عمومي و انقلاب شهرستان ليلان,دادگستري كل استان آذربايجان شرقي > حوزه قضايي شهرستان ليلان > دادگاه عمومي و انقلاب شهرستان ليلان,3
65310,شوراي حل اختلاف شهرستان ليلان,دادگستري كل استان آذربايجان شرقي > حوزه قضايي شهرستان ليلان > شوراي حل اختلاف شهرستان ليلان,3
00095,حوزه قضايي شهرستان مراغه,دادگستري كل استان آذربايجان شرقي > حوزه قضايي شهرستان مراغه,2
43250,دادسراي عمومي و انقلاب شهرستان مراغه,دادگستري كل استان آذربايجان شرقي > حوزه قضايي شهرستان مراغه > دادسراي عمومي و انقلاب شهرستان مراغه,3
00360,دادگاه عمومي و انقلاب شهرستان مراغه,دادگستري كل استان آذربايجان شرقي > حوزه قضايي شهرستان مراغه > دادگاه عمومي و انقلاب شهرستان مراغه,3
65200,شوراي حل اختلاف شهرستان مراغه,دادگستري كل استان آذربايجان شرقي > حوزه قضايي شهرستان مراغه > شوراي حل اختلاف شهرستان مراغه,3
00096,حوزه قضايي شهرستان مرند,دادگستري كل استان آذربايجان شرقي > حوزه قضايي شهرستان مرند,2
43300,دادسراي عمومي و انقلاب شهرستان مرند,دادگستري كل استان آذربايجان شرقي > حوزه قضايي شهرستان مرند > دادسراي عمومي و انقلاب شهرستان مرند,3
00362,دادگاه عمومي و انقلاب شهرستان مرند,دادگستري كل استان آذربايجان شرقي > حوزه قضايي شهرستان مرند > دادگاه عمومي و انقلاب شهرستان مرند,3
65250,شوراي حل اختلاف شهرستان مرند,دادگستري كل استان آذربايجان شرقي > حوزه قضايي شهرستان مرند > شوراي حل اختلاف شهرستان مرند,3
00089,حوزه قضايي شهرستان ملكان,دادگستري كل استان آذربايجان شرقي > حوزه قضايي شهرستان ملكان,2
43350,دادسراي عمومي و انقلاب شهرستان ملكان,دادگستري كل استان آذربايجان شرقي > حوزه قضايي شهرستان ملكان > دادسراي عمومي و انقلاب شهرستان ملكان,3
00361,دادگاه عمومي و انقلاب شهرستان ملكان,دادگستري كل استان آذربايجان شرقي > حوزه قضايي شهرستان ملكان > دادگاه عمومي و انقلاب شهرستان ملكان,3
65410,شوراي حل اختلاف شهرستان ملكان,دادگستري كل استان آذربايجان شرقي > حوزه قضايي شهرستان ملكان > شوراي حل اختلاف شهرستان ملكان,3
00077,حوزه قضايي شهرستان ميانه,دادگستري كل استان آذربايجان شرقي > حوزه قضايي شهرستان ميانه,2
43400,دادسراي عمومي و انقلاب شهرستان ميانه,دادگستري كل استان آذربايجان شرقي > حوزه قضايي شهرستان ميانه > دادسراي عمومي و انقلاب شهرستان ميانه,3
65030,مجتمع قضايي آيت الله احمدي ميانجي شهرستان ميانه - (شعب دادسرا),دادگستري كل استان آذربايجان شرقي > حوزه قضايي شهرستان ميانه > دادسراي عمومي و انقلاب شهرستان ميانه > مجتمع قضايي آيت الله احمدي ميانجي شهرستان ميانه - (شعب دادسرا),4
00151,دادگاه عمومي و انقلاب شهرستان ميانه,دادگستري كل استان آذربايجان شرقي > حوزه قضايي شهرستان ميانه > دادگاه عمومي و انقلاب شهرستان ميانه,3
65031,مجتمع قضايي آيت الله احمدي ميانجي شهرستان ميانه - (شعب دادگاه),دادگستري كل استان آذربايجان شرقي > حوزه قضايي شهرستان ميانه > دادگاه عمومي و انقلاب شهرستان ميانه > مجتمع قضايي آيت الله احمدي ميانجي شهرستان ميانه - (شعب دادگاه),4
65080,شوراي حل اختلاف شهرستان ميانه,دادگستري كل استان آذربايجان شرقي > حوزه قضايي شهرستان ميانه > شوراي حل اختلاف شهرستان ميانه,3
00093,حوزه قضايي شهرستان هريس,دادگستري كل استان آذربايجان شرقي > حوزه قضايي شهرستان هريس,2
43500,دادسراي عمومي و انقلاب شهرستان هريس,دادگستري كل استان آذربايجان شرقي > حوزه قضايي شهرستان هريس > دادسراي عمومي و انقلاب شهرستان هريس,3
00357,دادگاه عمومي و انقلاب شهرستان هريس,دادگستري كل استان آذربايجان شرقي > حوزه قضايي شهرستان هريس > دادگاه عمومي و انقلاب شهرستان هريس,3
65500,شوراي حل اختلاف شهرستان هريس,دادگستري كل استان آذربايجان شرقي > حوزه قضايي شهرستان هريس > شوراي حل اختلاف شهرستان هريس,3
00079,حوزه قضايي شهرستان هشترود,دادگستري كل استان آذربايجان شرقي > حوزه قضايي شهرستان هشترود,2
41600,دادسراي عمومي و انقلاب شهرستان هشترود,دادگستري كل استان آذربايجان شرقي > حوزه قضايي شهرستان هشترود > دادسراي عمومي و انقلاب شهرستان هشترود,3
00351,دادگاه عمومي و انقلاب شهرستان هشترود,دادگستري كل استان آذربايجان شرقي > حوزه قضايي شهرستان هشترود > دادگاه عمومي و انقلاب شهرستان هشترود,3
65490,شوراي حل اختلاف شهرستان هشترود,دادگستري كل استان آذربايجان شرقي > حوزه قضايي شهرستان هشترود > شوراي حل اختلاف شهرستان هشترود,3
00708,حوزه قضايي شهرستان هوراند,دادگستري كل استان آذربايجان شرقي > حوزه قضايي شهرستان هوراند,2
43900,دادگاه عمومي و انقلاب دادگستري شهرستان هوراند,دادگستري كل استان آذربايجان شرقي > حوزه قضايي شهرستان هوراند > دادگاه عمومي و انقلاب دادگستري شهرستان هوراند,3
65340,شوراي حل اختلاف هوراند,دادگستري كل استان آذربايجان شرقي > حوزه قضايي شهرستان هوراند > شوراي حل اختلاف هوراند,3
00700,حوزه قضايي شهرستان ورزقان,دادگستري كل استان آذربايجان شرقي > حوزه قضايي شهرستان ورزقان,2
43450,دادسراي عمومي و انقلاب شهرستان ورزقان,دادگستري كل استان آذربايجان شرقي > حوزه قضايي شهرستان ورزقان > دادسراي عمومي و انقلاب شهرستان ورزقان,3
41350,دادگاه عمومي و انقلاب شهرستان ورزقان,دادگستري كل استان آذربايجان شرقي > حوزه قضايي شهرستان ورزقان > دادگاه عمومي و انقلاب شهرستان ورزقان,3
65270,شوراي حل اختلاف شهرستان ورزقان,دادگستري كل استان آذربايجان شرقي > حوزه قضايي شهرستان ورزقان > شوراي حل اختلاف شهرستان ورزقان,3
41220,دادگاههاي تجديدنظر دادگستري كل استان آذربايجان شرقي,دادگستري كل استان آذربايجان شرقي > دادگاههاي تجديدنظر دادگستري كل استان آذربايجان شرقي,2
41238,دادگاههاي كيفري يك استان آذربايجان شرقي,دادگستري كل استان آذربايجان شرقي > دادگاههاي كيفري يك استان آذربايجان شرقي,2
